MMSI,MMSI_String,ShipName,latitude,longitude,time_utc,Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,port
367698890,367698890,LBFD FB20           ,33.770208333333336,-118.20981166666667,2025-07-13T11:32:39.028373+00:00,102.3,85594,33.770208333333336,-118.20981166666667,3,5,False,False,-128,0,0.1,0,0,37,511,367698890,True,los_angeles
367133910,367133910,FIREBOAT 4          ,33.76570666666667,-118.25547499999999,2025-07-13T11:32:39.330096+00:00,246.1,30595,33.76570666666667,-118.25547499999999,3,0,False,True,-128,0,0.0,0,0,39,511,367133910,True,los_angeles
636023051,636023051,KUFRA               ,33.77509,-118.21414,2025-07-13T11:32:39.414546+00:00,54.3,84826,33.77509,-118.21414,3,5,False,False,0,0,0.0,0,0,37,245,636023051,True,los_angeles
367533290,367533290,MARIE CHERAMIE,33.734485,-118.270925,2025-07-13T11:32:41.351214+00:00,12.7,34278,33.734485,-118.270925,1,0,False,False,0,0,0.0,0,0,40,4,367533290,True,los_angeles
368133450,368133450,DARELL HIATT        ,33.72735166666667,-118.19541166666666,2025-07-13T11:32:41.354817+00:00,161.9,2240,33.72735166666667,-118.19541166666666,1,12,True,False,0,0,0.0,0,0,40,249,368133450,True,los_angeles
368351350,368351350,MARMAC 304          ,33.74586333333333,-118.22424166666666,2025-07-13T11:32:42.159101+00:00,289.2,49330,33.74586333333333,-118.22424166666666,1,15,False,False,0,0,0.0,0,0,41,9,368351350,True,los_angeles
636020555,636020555,BALTIC LOYALTY      ,33.72885,-118.16353333333333,2025-07-13T11:32:42.336120+00:00,201.0,0,33.72885,-118.16353333333333,3,1,False,False,0,0,0.0,0,0,40,243,636020555,True,los_angeles
368010330,368010330,LILLIAN FOSS        ,33.7707,-118.21250833333333,2025-07-13T11:32:43.515140+00:00,321.7,34393,33.7707,-118.21250833333333,1,0,False,False,0,0,0.0,0,0,41,63,368010330,True,los_angeles
367492920,367492920,WYATT M             ,33.735503333333334,-118.27122833333333,2025-07-13T11:32:43.515655+00:00,262.6,2259,33.735503333333334,-118.27122833333333,1,15,True,False,0,0,0.1,0,0,42,11,367492920,True,los_angeles
367672140,367672140,MAURETANIA          ,33.72353833333333,-118.280445,2025-07-13T11:32:43.604451+00:00,164.5,34350,33.72353833333333,-118.280445,1,15,False,True,-128,0,0.0,0,0,41,511,367672140,True,los_angeles
368024740,368024740,LB PILOT BOAT  ORION,33.74723,-118.21566166666666,2025-07-13T11:32:43.917585+00:00,121.4,8864,33.74723,-118.21566166666666,3,0,False,False,-127,0,0.0,0,0,42,97,368024740,True,los_angeles
368084540,368084540,DELTA TERESA        ,33.73419833333333,-118.24350666666666,2025-07-13T11:32:45.011307+00:00,347.0,49345,33.73419833333333,-118.24350666666666,1,0,True,False,0,0,0.1,0,0,43,72,368084540,True,los_angeles
366998840,366998840,MILLENIUM MAVERICK  ,33.75311666666666,-118.27296666666666,2025-07-13T11:32:47.220503+00:00,162.3,3856,33.75311666666666,-118.27296666666666,3,0,False,False,-127,0,3.3,0,0,47,346,366998840,True,los_angeles
368171260,368171260,MADELINE B HAMILTON ,33.731265,-118.26082333333333,2025-07-13T11:32:47.227240+00:00,51.0,34532,33.731265,-118.26082333333333,1,12,True,False,0,0,0.0,0,0,46,341,368171260,True,los_angeles
338921000,338921000,CG GEORGE COBB,33.728363333333334,-118.27042833333333,2025-07-13T11:32:47.828060+00:00,308.1,85066,33.728363333333334,-118.27042833333333,3,5,False,False,0,0,0.1,0,0,47,161,338921000,True,los_angeles
367104040,367104040,KNOX T              ,33.73455166666667,-118.27126666666666,2025-07-13T11:32:47.969748+00:00,15.5,100095,33.73455166666667,-118.27126666666666,1,15,True,False,127,0,0.9,0,0,46,222,367104040,True,los_angeles
